採集時間,球賽編號,旗徽,對賽隊伍,場地,預定截止投注時間,即場投注,主隊賠率,和賠率,客隊賠率
2022-03-21 19:14:18,星期一 9,,防衛者 對 沙蘭迪兵工廠,,22/03 06:15,,1.48,3.70,5.50
2022-03-21 19:14:18,星期一 10,,艾斯賓路拿 對 紐柏萊斯,,22/03 07:27,,2.17,3.15,2.85
2022-03-21 19:14:19,星期一 11,,小阿根廷人 對 沙士菲,,22/03 08:30,,2.06,2.80,3.50
2022-03-21 19:14:19,星期二 9,,圖庫曼體育會 對 CA科爾多瓦中央,,23/03 06:15,,2.68,3.00,2.37
2022-03-21 19:14:19,星期二 11,,泰拿尼斯 對 葛度爾古斯,,23/03 08:30,,2.17,2.95,3.05
2022-03-21 19:35:12,星期一 4,,海牙 對 泰斯達,,22/03 03:00,,1.59,3.75,4.30
2022-03-21 19:35:12,星期一 6,,高車士打 對 格連森林,,22/03 03:45,,3.55,3.20,1.87
2022-03-21 19:35:12,星期一 7,,特內里費 對 艾美利亞,,22/03 04:00,,2.38,2.90,2.75
2022-03-21 19:35:12,星期一 8,,安圖法加斯達 對 卡拉雷聯,,22/03 04:57,,2.12,3.05,3.05
2022-03-21 19:35:13,星期一 9,,防衛者 對 沙蘭迪兵工廠,,22/03 06:15,,1.48,3.70,5.50
2022-03-21 19:35:13,星期一 10,,艾斯賓路拿 對 紐柏萊斯,,22/03 07:27,,2.17,3.15,2.85
2022-03-21 19:35:13,星期一 11,,小阿根廷人 對 沙士菲,,22/03 08:30,,2.06,2.80,3.50
2022-03-21 19:35:13,星期二 3,,哈洛格特 對 奧連特,,23/03 03:00,,2.30,3.00,2.78
2022-03-21 19:35:13,星期二 5,,普利茅夫 對 車頓咸,,23/03 03:45,,1.71,3.50,3.90
2022-03-21 19:35:13,星期二 6,,奧咸 對 瑟頓聯,,23/03 03:45,,3.05,3.10,2.10
2022-03-21 19:35:13,星期二 7,,維爾港 對 埃克塞特,,23/03 03:45,,2.40,3.00,2.65
2022-03-21 19:35:13,星期二 8,,羅奇代爾 對 曼斯菲,,23/03 03:45,,2.45,3.05,2.55
2022-03-21 19:35:13,星期二 9,,圖庫曼體育會 對 CA科爾多瓦中央,,23/03 06:15,,2.68,3.00,2.37
2022-03-21 19:35:14,星期二 10,,聖保羅 對 聖貝拿度,,23/03 07:30,,1.32,3.90,8.75
2022-03-21 19:35:14,星期二 11,,泰拿尼斯 對 葛度爾古斯,,23/03 08:30,,2.17,2.95,3.05
2022-03-21 19:35:14,星期三 1,,墨爾本勝利 對 西部聯,,23/03 16:05,,1.97,3.30,3.15
2022-03-21 19:35:14,星期三 2,,布里斯班獅吼 對 墨爾本城,,23/03 16:35,,2.85,3.40,2.07
2022-03-21 19:35:14,星期三 3,,德島漩渦 對 秋田藍閃電,,23/03 18:00,,1.73,3.15,4.30
2022-03-21 19:35:14,星期三 4,,大分三神 對 FC琉球,,23/03 18:00,,1.80,3.30,3.70
2022-03-21 19:35:14,星期三 11,,巴拉干天奴紅牛 對 聖安德雷,,24/03 06:00,,1.37,3.85,7.25
2022-03-21 19:35:14,星期三 12,,彭美拉斯 對 伊圖諾,,24/03 08:35,,1.19,5.00,11.50
